"","type1218","name","value"
"1","Not vulnerable","count",151
"2","Not vulnerable","mean_hhinc12",155897.281699289
"3","Not vulnerable","min_hinc12",70524.9688888889
"4","Not vulnerable","max_hhinc12",273927.02162963
"5","Not vulnerable","sd_hhinc12",40630.4303440978
"6","Not vulnerable","mean_hhinc18",156626.973509934
"7","Not vulnerable","min_hhinc18",68889
"8","Not vulnerable","max_hhinc18",250001
"9","Not vulnerable","sd_hhinc18",39031.9090678293
"10","Not vulnerable","mean_noba12",33.3673407935347
"11","Not vulnerable","min_noba12",13.0208333333333
"12","Not vulnerable","max_noba12",61.241610738255
"13","Not vulnerable","sd_noba12",10.8607710559686
"14","Not vulnerable","mean_noba18",30.7616237757687
"15","Not vulnerable","min_noba18",9.57838722881703
"16","Not vulnerable","max_noba18",56.1706449974606
"17","Not vulnerable","sd_noba18",10.3718979434553
"18","Not vulnerable","mean_nonwhite12",26.3274248274368
"19","Not vulnerable","min_nonwhite12",3.45464135021097
"20","Not vulnerable","max_nonwhite12",61.1475976494988
"21","Not vulnerable","sd_nonwhite12",9.70791843555808
"22","Not vulnerable","mean_nonwhite18",29.3149161405803
"23","Not vulnerable","min_nonwhite18",7.75862068965517
"24","Not vulnerable","max_nonwhite18",66.5117550574084
"25","Not vulnerable","sd_nonwhite18",11.3471918340819
"26","Not vulnerable","mean_renters12",16.7529980176631
"27","Not vulnerable","min_renters12",0.509337860780985
"28","Not vulnerable","max_renters12",82.8358208955224
"29","Not vulnerable","sd_renters12",14.8059134899661
"30","Not vulnerable","mean_renters18",17.0343179438313
"31","Not vulnerable","min_renters18",0.742115027829314
"32","Not vulnerable","max_renters18",79.2817679558011
"33","Not vulnerable","sd_renters18",15.4001244907283
"34","Not vulnerable","mean_withba12",66.6326592064653
"35","Not vulnerable","min_withba12",38.758389261745
"36","Not vulnerable","max_withba12",86.9791666666667
"37","Not vulnerable","sd_withba12",10.8607710559686
"38","Not vulnerable","mean_withba18",69.2383762242313
"39","Not vulnerable","min_withba18",43.8293550025394
"40","Not vulnerable","max_withba18",90.421612771183
"41","Not vulnerable","sd_withba18",10.3718979434553
"42","Not vulnerable","mean_medinc12",155897.281699289
"43","Not vulnerable","min_medinc12",70524.9688888889
"44","Not vulnerable","max_medinc12",273927.02162963
"45","Not vulnerable","sd_medinc12",40630.4303440978
"46","Not vulnerable","mean_medinc18",156626.973509934
"47","Not vulnerable","min_medinc18",68889
"48","Not vulnerable","max_medinc18",250001
"49","Not vulnerable","sd_medinc18",39031.9090678293
"50","Not vulnerable","mean_nonhispwh12",66.6594432105626
"51","Not vulnerable","min_nonhispwh12",36.6439371479395
"52","Not vulnerable","max_nonhispwh12",93.7454808387563
"53","Not vulnerable","sd_nonhispwh12",11.714587553409
"54","Not vulnerable","mean_nonhispwh18",63.5970241442202
"55","Not vulnerable","min_nonhispwh18",31.3832695462001
"56","Not vulnerable","max_nonhispwh18",88.991935483871
"57","Not vulnerable","sd_nonhispwh18",12.6578878213516
"58","Not vulnerable","mean_medrent12",2024.72983075791
"59","Not vulnerable","min_medrent12",211.470814814815
"60","Not vulnerable","max_medrent12",2192.50311111111
"61","Not vulnerable","sd_medrent12",319.488510043605
"62","Not vulnerable","mean_medrent18",2388.09271523179
"63","Not vulnerable","min_medrent18",241
"64","Not vulnerable","max_medrent18",3501
"65","Not vulnerable","sd_medrent18",614.714235516454
"66","Not vulnerable","mean_medhome12",615281.203806721
"67","Not vulnerable","min_medhome12",279514.014814815
"68","Not vulnerable","max_medhome12",1095704.79940741
"69","Not vulnerable","sd_medhome12",186914.50813262
"70","Not vulnerable","mean_medhome18",633144.370860927
"71","Not vulnerable","min_medhome18",251900
"72","Not vulnerable","max_medhome18",1444200
"73","Not vulnerable","sd_medhome18",209075.518616523
"74","Not vulnerable","mean_chgba",0.470198675496689
"75","Not vulnerable","min_chgba",0
"76","Not vulnerable","max_chgba",1
"77","Not vulnerable","sd_chgba",0.500772030899857
"78","Not vulnerable","mean_chghhinc",0.443708609271523
"79","Not vulnerable","min_chghhinc",0
"80","Not vulnerable","max_chghhinc",1
"81","Not vulnerable","sd_chghhinc",0.498474494023568
"82","Not vulnerable","mean_chgnonhispwh",0.483443708609272
"83","Not vulnerable","min_chgnonhispwh",0
"84","Not vulnerable","max_chgnonhispwh",1
"85","Not vulnerable","sd_chgnonhispwh",0.501388799712181
"86","Not vulnerable","mean_chgmedrent",0.649006622516556
"87","Not vulnerable","min_chgmedrent",0
"88","Not vulnerable","max_chgmedrent",1
"89","Not vulnerable","sd_chgmedrent",0.478869160929354
"90","Not vulnerable","mean_chgmedhome",0.377483443708609
"91","Not vulnerable","min_chgmedhome",0
"92","Not vulnerable","max_chgmedhome",1
"93","Not vulnerable","sd_chgmedhome",0.486370528908494
"94","Vulnerable, did not gentrify","count",49
"95","Vulnerable, did not gentrify","mean_hhinc12",93804.4015842782
"96","Vulnerable, did not gentrify","min_hinc12",55283.7303703704
"97","Vulnerable, did not gentrify","max_hhinc12",119759.319111111
"98","Vulnerable, did not gentrify","sd_hhinc12",19181.9334325031
"99","Vulnerable, did not gentrify","mean_hhinc18",91370.306122449
"100","Vulnerable, did not gentrify","min_hhinc18",41859
"101","Vulnerable, did not gentrify","max_hhinc18",143688
"102","Vulnerable, did not gentrify","sd_hhinc18",19435.8726287717
"103","Vulnerable, did not gentrify","mean_noba12",49.8947563064975
"104","Vulnerable, did not gentrify","min_noba12",13.0863358259687
"105","Vulnerable, did not gentrify","max_noba12",76.9535673839185
"106","Vulnerable, did not gentrify","sd_noba12",14.0061651315543
"107","Vulnerable, did not gentrify","mean_noba18",49.900412587288
"108","Vulnerable, did not gentrify","min_noba18",18.7195546276966
"109","Vulnerable, did not gentrify","max_noba18",83.9705882352941
